family,twinno,earning,schyear,highqua,twihigh,age,LNandSE,part,full,self,married,own_exp,bweight,exp_par,parted,sm16,sm18
1,1,4.6597633,11,12,12,58,1,1,0,0,0,14,92,,,1,1
1,2,12.980769,11,12,12,58,1,0,1,0,0,7,90,,,1,1
2,1,8.8357592,12,11,11,30,0,0,1,0,0,10,81,,,0,1
2,2,4.2218933,12,11,11,30,0,0,1,0,0,11,87,,,0,1
3,1,4.6875,11,11,10,36,0,1,0,0,1,7,77,30,1,1,1
3,2,4.8076925,11,10,11,36,0,0,1,0,0,10,74,20,7,1,1
4,1,43.26923,12,14,14,31,1,0,0,1,1,14,,16,6,1,1
4,2,13.869423,13,16,14,31,1,0,1,0,1,13,112,17,8,1,1
5,1,10.096154,11,12,16,35,1,0,1,0,0,19,103,,,1,1
5,2,8,11,16,12,35,1,0,1,0,1,19,70,16,3,1,1
6,1,4.5150499,13,12,12,22,0,0,1,0,0,,70,,,0,0
6,2,5.9340658,13,12,12,22,0,0,1,0,0,,74,,,0,0
7,1,11.628896,17,16,12,31,0,0,1,0,0,11,91,,,0,0
7,2,5.6999998,11,12,16,31,0,1,0,0,0,11,109,,,0,0
8,1,8.1318684,15,16,16,24,1,0,1,0,0,3,96,,,1,1
8,2,7.4844074,19,17,16,24,1,0,1,0,0,0,96,11,4,1,1
9,1,2.6546154,11,11,12,45,1,1,0,0,1,25,37,14,2,0,1
9,2,67.307693,13,12,12,45,1,1,0,0,1,6,,20,8,1,1
10,1,3.5999999,,17,17,22,0,1,0,0,0,3,78,,,0,0
10,2,2.5,16,17,14,22,0,0,1,0,0,,78,,,0,0
11,1,15,12,12,12,41,1,0,0,1,1,7,69,20,6,0,0
11,2,10.576923,13,16,12,41,0,0,1,0,0,11,58,10,8,0,0
12,1,4.765625,12,12,12,39,1,1,0,0,0,4,103,15,8,0,0
12,2,5.3868752,12,12,12,39,1,1,0,0,1,2,103,20,7,0,0
13,1,6.8681316,17,17,17,30,0,0,1,0,1,3,86,2,8,0,1
13,2,10.121457,16,17,17,30,0,0,1,0,1,5,,,8,0,1
14,1,10.683761,13,16,17,31,1,0,1,0,0,13,115,,,0,0
14,2,18.26923,16,17,16,31,1,0,0,0,1,10,113,6,6,0,0
15,1,9.6659918,18,17,17,36,0,0,1,0,0,10,52,10,8,0,0
15,2,13.822115,16,17,17,36,0,0,1,0,0,15,73,18,7,0,0
16,1,10.470374,10,17,15,52,1,0,1,0,1,37,68,10,8,0,0
16,2,12.145749,12,17,17,52,0,0,1,0,1,34,66,45,2,0,0
17,1,13.26,11,12,12,34,1,0,0,0,0,17,89,20,4,1,1
17,2,6,13,12,12,34,1,1,0,0,0,3,92,18,4,1,1
18,1,5.5873179,10,11,11,52,0,0,0,0,1,13,75,36,8,0,1
18,2,6.7567568,10,11,11,52,1,0,1,0,1,,,,8,0,0
19,1,7.2263746,13,14,17,35,1,1,0,0,1,3,96,1,2,0,0
19,2,6,18,17,14,35,0,1,0,0,1,5,74,3,8,0,0
20,1,8.7406445,17,17,17,31,1,0,1,0,0,8,103,,,0,0
20,2,8.3160086,16,17,17,31,0,0,1,0,1,9,108,9,7,0,0
21,1,6.5934067,13,16,17,26,0,0,1,0,0,2,86,,,0,0
21,2,7.0456042,16,16,12,26,0,0,1,0,0,5,96,4,7,0,0
22,1,2.218935,10,11,11,57,1,0,0,1,1,22,56,12,1,0,0
22,2,3.2467532,10,11,11,57,1,0,0,,1,2,72,2,3,0,1
23,1,6.0500002,11,12,12,49,0,1,0,0,1,2,,9,,0,0
23,2,3.1153846,11,12,12,49,1,1,0,0,1,8,,33,7,0,0
24,1,7.1434512,10,12,12,57,0,0,1,0,1,9,91,8,,0,0
24,2,10.914761,10,12,12,57,0,0,1,0,0,6,99,30,6,0,1
25,1,10.525641,17,17,17,43,0,0,1,0,0,19,93,,,0,0
25,2,11.904762,16,17,17,43,0,0,1,0,1,7,82,,8,0,0
26,1,5.6500001,12,14,14,47,1,1,0,0,1,4,,12,7,0,0
26,2,7.3717947,12,12,14,47,1,0,0,0,1,10,72,10,8,0,0
27,1,4.6981759,14,12,14,21,0,0,1,0,0,3,73,,,1,1
27,2,8.0128202,13,14,12,21,0,0,1,0,0,2,93,4,5,0,0
28,1,17.307692,16,17,17,27,1,0,1,0,0,4,69,,,0,0
28,2,12.087913,16,17,17,27,1,0,1,0,0,5,94,,,0,0
29,1,10.489511,10,10,10,45,1,0,1,0,1,19,100,25,1,1,1
29,2,5,10,10,10,45,1,0,1,0,1,12,73,3,1,1,1
30,1,11.324786,11,17,12,48,1,0,1,0,0,15,91,,,0,0
30,2,9.6978025,11,12,10,48,0,0,1,0,1,18,97,5,6,0,0
