	(1)	(2)	(3)
VARIABLES	MVA	CVD	d
			
bin_1	-0.00637*	0.0190***	0.00432***
	(0.00330)	(0.00138)	(0.000727)
bin_2	0.00569	0.0166***	0.00666***
	(0.00404)	(0.00163)	(0.000829)
bin_3	0.00464**	0.0132***	0.00422***
	(0.00233)	(0.00127)	(0.000587)
bin_4	0.00568*	0.0105***	0.00421***
	(0.00290)	(0.00126)	(0.000620)
bin_5	0.00346**	0.00562***	0.00285***
	(0.00172)	(0.000817)	(0.000337)
bin_6	0.00235*	0.00316***	0.00112***
	(0.00136)	(0.000924)	(0.000383)
bin_8	-0.00206	-0.00135**	-3.08e-06
	(0.00130)	(0.000644)	(0.000281)
bin_9	-0.00560**	-0.00486***	0.000995***
	(0.00243)	(0.000986)	(0.000355)
bin_10	-0.0343***	-0.0108***	0.00250***
	(0.00825)	(0.00252)	(0.000761)
Constant	-6.282***	-3.398***	4.417***
	(0.0524)	(0.0262)	(0.0113)
			
Observations	26,453	26,460	26,460
Number of stfips	49	49	49
State/Month FE	YES	YES	YES
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
